,0
0,3.8737774
1,4.67074
2,4.6463065
3,5.891218
4,4.774733
5,6.1937957
6,4.7185745
7,4.5113354
8,5.223218
9,5.6988697
10,5.048076
11,4.1254086
12,6.0778904
13,3.1912463
14,6.8211145
15,6.4096274
16,5.6771617
17,4.326162
18,5.6861057
19,6.342999
20,5.7121944
21,5.0999913
22,6.294644
23,3.864506
24,5.4078197
25,3.5321531
26,6.2171483
27,5.80786
28,6.8560767
29,4.899168
30,5.101261
31,6.2125573
32,4.928018
33,7.3111897
34,5.712896
35,4.9951677
36,3.9913273
37,6.463905
38,5.5523024
39,6.373218
40,5.0651073
41,6.433783
42,3.0735185
43,5.7503667
44,6.358147
45,7.064199
46,4.9800987
47,5.2586913
48,4.6820335
49,8.372958
50,4.670802
51,6.362901
52,6.156719
53,5.9877834
54,4.3839574
55,6.0308504
56,6.0704184
57,6.280226
58,5.578268
59,6.895227
60,6.484607
61,3.8288035
62,6.1038723
63,5.0193133
64,5.7619624
65,5.7868485
66,3.9425895
67,3.9654112
68,5.3307395
69,5.4407344
70,5.2175603
71,3.7858386
72,6.2493954
73,5.338696
74,4.9764977
75,3.584956
76,5.1642485
77,5.8148556
78,5.646014
79,5.2953515
80,6.922076
81,5.8747807
82,5.0166306
83,3.1916308
84,6.774892
85,5.3236356
86,7.34188
87,5.7633743
88,6.535994
89,7.849307
90,5.367078
91,4.9904556
92,4.6173596
93,4.5840874
94,5.3601294
95,4.6534095
96,4.6365895
97,4.1447124
98,5.0932393
99,4.6611977
100,4.7922106
101,5.841195
102,3.525036
103,5.3652472
104,5.4844947
105,6.9278755
106,5.717557
107,6.1688128
108,7.221632
109,5.054579
110,4.4040213
111,5.678594
112,3.375748
113,5.779501
114,8.087201
115,5.048748
116,4.780374
117,6.053925
118,6.750562
119,5.845312
120,6.8238864
121,5.5029144
122,5.9886312
123,7.0947967
124,6.4911284
125,4.6420307
126,5.68517
127,6.063316
128,6.8726745
129,4.388169
130,6.851717
131,4.360045
132,5.9046545
133,6.517363
134,5.0545616
135,6.1732893
136,5.1382513
137,5.596634
